pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,habitable
2.76,8.05,0.1649,0.06,2.9,4035.0,0.59,0.62,0
2.9,8.75,0.049,0.08,8.7,3570.0,0.388,0.39,0
2.18,5.39,0.121,0.08,2.0,3654.47,0.402049,0.494727,0
1.97,4.54,0.0656,0.06,35.3,4339.0,0.65,0.69,0
8.37,52.9,0.0411,0.12,105.6,4575.0,0.66,0.72,0
1.42,2.6,0.056,0.23,68.8,4469.51,0.777569,0.711248,0
1.04,1.12,0.057,0.13,4.5,3459.09,0.36001,0.360031,0
1.25,2.1,0.032,0.17,136.4,4356.47,0.744261,0.69563,0
1.69,7.9,0.00936,0.0,4070.0,5120.0,0.7595,0.803,0
14.5717,155.7367,0.0916,0.29,293.374,4840.0,3.85,1.08,0
1.014,4.3,0.0707,0.14,33.5,4500.0,0.677,0.742,0
3.0,18.1,0.1185,0.047,11.91,4500.0,0.677,0.742,0
1.565,3.0,0.1538,0.071,7.07,4500.0,0.677,0.742,0
1.51,3.1,0.03385,0.048,486.0,5356.3,0.863,0.935,0
2.299,6.31,0.04461,0.045,279.0,5356.3,0.863,0.935,0
2.39,7.92,0.05893,0.043,160.0,5356.3,0.863,0.935,0
3.39,12.97,0.0782,0.077,91.1,5356.3,0.863,0.935,0
2.904,1.63,0.10447,0.062,51.0,5356.3,0.863,0.935,0
3.013,4.32,0.23109,0.059,9.29,5356.3,0.863,0.935,0
4.81,20.7,0.0627,0.14,8.0,3789.0,0.45,0.47,0
13.56286665,295.58041851,0.068,0.0,204.0,5585.0,1.06,0.96,0
1.51,4.97,0.00747,0.0,3260.0,4570.0,0.681,0.708,0
7.0,8.0,0.0683,0.092,39.1,4570.0,0.681,0.708,0
2.05,5.77,0.0248,0.129,20.7,3385.0,0.33,0.331,0
